date,inflation_rate,median_cpi_yoy,release_date
2000-01-01,2.6,1.4,2000-02-15
2000-04-01,2.5,1.5,2000-05-15
2000-07-01,2.8,1.6,2000-08-15
2000-10-01,3.0,1.8,2000-11-15
2001-01-01,2.8,2.1,2001-02-15
2001-04-01,3.6,2.2,2001-05-15
2001-07-01,2.7,2.3,2001-08-15
2001-10-01,1.1,2.1,2001-11-15
2002-01-01,1.6,2.0,2002-02-15
2002-04-01,1.3,2.0,2002-05-15
2002-07-01,2.3,2.1,2002-08-15
2002-10-01,3.8,2.2,2002-11-15
2003-01-01,4.5,2.3,2003-02-15
2003-04-01,2.8,2.1,2003-05-15
2003-07-01,2.1,2.0,2003-08-15
2003-10-01,1.7,2.0,2003-11-15
2004-01-01,1.0,1.6,2004-02-15
2004-04-01,2.1,1.6,2004-05-15
2004-07-01,1.9,1.6,2004-08-15
2004-10-01,2.3,1.8,2004-11-15
2005-01-01,2.1,1.9,2005-02-15
2005-04-01,1.9,1.8,2005-05-15
2005-07-01,2.7,1.8,2005-08-15
2005-10-01,2.2,1.8,2005-11-15
2006-01-01,2.4,1.8,2006-02-15
2006-04-01,2.6,1.9,2006-05-15
2006-07-01,1.7,2.0,2006-08-15
2006-10-01,1.4,2.2,2006-11-15
2007-01-01,1.8,2.4,2007-02-15
2007-04-01,2.2,2.6,2007-05-15
2007-07-01,2.2,2.6,2007-08-15
2007-10-01,2.4,2.4,2007-11-15
2008-01-01,1.8,2.5,2008-02-15
2008-04-01,2.3,2.5,2008-05-15
2008-07-01,3.4,2.6,2008-08-15
2008-10-01,2.0,2.7,2008-11-15
2009-01-01,1.2,2.5,2009-02-15
2009-04-01,0.1,2.2,2009-05-15
2009-07-01,-0.9,1.8,2009-08-15
2009-10-01,0.8,1.7,2009-11-15
2010-01-01,1.6,1.7,2010-02-15
2010-04-01,1.4,1.6,2010-05-15
2010-07-01,1.8,1.6,2010-08-15
2010-10-01,2.3,1.6,2010-11-15
2011-01-01,2.6,1.6,2011-02-15
2011-04-01,3.4,1.9,2011-05-15
2011-07-01,3.0,2.0,2011-08-15
2011-10-01,2.6,2.0,2011-11-15
2012-01-01,2.4,2.0,2012-02-15
2012-04-01,1.6,1.8,2012-05-15
2012-07-01,1.2,1.6,2012-08-15
2012-10-01,1.0,1.6,2012-11-15
2013-01-01,0.9,1.5,2013-02-15
2013-04-01,0.7,1.6,2013-05-15
2013-07-01,1.1,1.6,2013-08-15
2013-10-01,0.9,1.6,2013-11-15
2014-01-01,1.4,1.6,2014-02-15
2014-04-01,2.2,1.8,2014-05-15
2014-07-01,2.0,1.7,2014-08-15
2014-10-01,2.0,1.8,2014-11-15
2015-01-01,1.0,1.8,2015-02-15
2015-04-01,1.0,1.6,2015-05-15
2015-07-01,1.2,1.8,2015-08-15
2015-10-01,1.3,1.9,2015-11-15
2016-01-01,1.6,2.0,2016-02-15
2016-04-01,1.5,2.1,2016-05-15
2016-07-01,1.3,2.0,2016-08-15
2016-10-01,1.4,1.9,2016-11-15
2017-01-01,1.9,1.7,2017-02-15
2017-04-01,1.3,1.6,2017-05-15
2017-07-01,1.4,1.6,2017-08-15
2017-10-01,1.8,1.6,2017-11-15
2018-01-01,2.1,1.9,2018-02-15
2018-04-01,2.3,2.0,2018-05-15
2018-07-01,2.7,1.9,2018-08-15
2018-10-01,2.1,1.9,2018-11-15
2019-01-01,1.6,2.0,2019-02-15
2019-04-01,2.2,2.1,2019-05-15
2019-07-01,1.9,2.1,2019-08-15
2019-10-01,2.1,2.1,2019-11-15
2020-01-01,1.8,1.9,2020-02-15
2020-04-01,0.0,1.8,2020-05-15
2020-07-01,0.2,1.9,2020-08-15
2020-10-01,0.7,2.1,2020-11-15
2021-01-01,1.5,2.2,2021-02-15
2021-04-01,3.4,2.5,2021-05-15
2021-07-01,4.1,3.0,2021-08-15
2021-10-01,4.7,3.2,2021-11-15
2022-01-01,5.8,4.0,2022-02-15
2022-04-01,7.5,5.1,2022-05-15
2022-07-01,7.2,5.2,2022-08-15
2022-10-01,6.7,5.3,2022-11-15
2023-01-01,5.2,4.7,2023-02-15
2023-04-01,3.6,3.9,2023-05-15
2023-07-01,3.7,3.8,2023-08-15
2023-10-01,3.3,3.6,2023-11-15
2024-01-01,2.8,3.5,2024-02-15
2024-04-01,2.7,3.1,2024-05-15
2024-07-01,2.1,2.6,2024-08-15
2024-10-01,1.9,2.6,2024-11-15
2025-01-01,2.3,2.7,2025-02-15
2025-04-01,1.7,3.0,2025-05-15
2025-07-01,2.0,3.1,2025-08-15
2025-10-01,2.2,2.8,2025-11-15
