date,inflation_rate,release_date
2000-01-01,2.1857923497267784,2000-02-15
2000-02-01,2.729257641921401,2000-03-15
2000-03-01,3.04347826086957,2000-04-15
2000-04-01,2.1621621621621623,2000-05-15
2000-05-01,2.373247033441217,2000-06-15
2000-06-01,2.7987082884822323,2000-07-15
2000-07-01,2.9001074113855996,2000-08-15
2000-08-01,2.5723472668810254,2000-09-15
2000-09-01,2.6709401709401615,2000-10-15
2000-10-01,2.774813233724638,2000-11-15
2000-11-01,3.205128205128216,2000-12-15
2000-12-01,3.2017075773745907,2001-01-15
2001-01-01,2.99465240641712,2001-02-15
2001-02-01,2.869287991498415,2001-03-15
2001-03-01,2.4261603375527407,2001-04-15
2001-04-01,3.4920634920634797,2001-05-15
2001-05-01,3.898840885142252,2001-06-15
2001-06-01,3.350785340314144,2001-07-15
2001-07-01,2.713987473903967,2001-08-15
2001-08-01,2.8213166144200663,2001-09-15
2001-09-01,2.6014568158168494,2001-10-15
2001-10-01,1.869158878504673,2001-11-15
2001-11-01,0.6211180124223725,2001-12-15
2001-12-01,0.7238883143743546,2002-01-15
2002-01-01,1.349948078920038,2002-02-15
2002-02-01,1.446280991735538,2002-03-15
2002-03-01,1.8537590113285374,2002-04-15
2002-04-01,1.7382413087934534,2002-05-15
2002-05-01,1.1156186612576224,2002-06-15
2002-06-01,1.2158054711246313,2002-07-15
2002-07-01,2.1341463414634054,2002-08-15
2002-08-01,2.5406504065040636,2002-09-15
2002-09-01,2.332657200811372,2002-10-15
2002-10-01,3.1600407747196746,2002-11-15
2002-11-01,4.4238683127572065,2002-12-15
2002-12-01,3.7987679671457775,2003-01-15
2003-01-01,4.508196721311486,2003-02-15
2003-02-01,4.6843177189409335,2003-03-15
2003-03-01,4.246713852376116,2003-04-15
2003-04-01,2.9145728643216184,2003-05-15
2003-05-01,2.8084252758274753,2003-06-15
2003-06-01,2.6026026026025884,2003-07-15
2003-07-01,2.0895522388059584,2003-08-15
2003-08-01,1.9821605550049526,2003-09-15
2003-09-01,2.18037661050543,2003-10-15
2003-10-01,1.5810276679841806,2003-11-15
2003-11-01,1.5763546798029493,2003-12-15
2003-12-01,2.077151335311589,2004-01-15
2004-01-01,1.274509803921564,2004-02-15
2004-02-01,0.6809338521400754,2004-03-15
2004-03-01,0.7759456838021483,2004-04-15
2004-04-01,1.6601562499999778,2004-05-15
2004-05-01,2.4390243902439046,2004-06-15
2004-06-01,2.536585365853661,2004-07-15
2004-07-01,2.3391812865497075,2004-08-15
2004-08-01,1.8464528668610258,2004-09-15
2004-09-01,1.8428709990300662,2004-10-15
2004-10-01,2.3346303501945664,2004-11-15
2004-11-01,2.424830261881672,2004-12-15
2004-12-01,2.131782945736438,2005-01-15
2005-01-01,1.9361084220716362,2005-02-15
2005-02-01,2.1256038647343045,2005-03-15
2005-03-01,2.3099133782483072,2005-04-15
2005-04-01,2.401536983669539,2005-05-15
2005-05-01,1.619047619047631,2005-06-15
2005-06-01,1.712654614652731,2005-07-15
2005-07-01,2.0000000000000018,2005-08-15
2005-08-01,2.57633587786259,2005-09-15
2005-09-01,3.23809523809524,2005-10-15
2005-10-01,2.5665399239543696,2005-11-15
2005-11-01,1.9886363636363757,2005-12-15
2005-12-01,2.0872865275142205,2006-01-15
2006-01-01,2.754036087369416,2006-02-15
2006-02-01,2.1759697256386046,2006-03-15
2006-03-01,2.163687676387571,2006-04-15
2006-04-01,2.4390243902439046,2006-05-15
2006-05-01,2.8116213683224034,2006-06-15
2006-06-01,2.4321796071094415,2006-07-15
2006-07-01,2.334267040149385,2006-08-15
2006-08-01,2.139534883720917,2006-09-15
2006-09-01,0.7380073800737907,2006-10-15
2006-10-01,1.019462465245602,2006-11-15
2006-11-01,1.392757660167132,2006-12-15
2006-12-01,1.6728624535315983,2007-01-15
2007-01-01,1.109057301293892,2007-02-15
2007-02-01,2.037037037037037,2007-03-15
2007-03-01,2.302025782688766,2007-04-15
2007-04-01,2.19780219780219,2007-05-15
2007-05-01,2.1877848678213185,2007-06-15
2007-06-01,2.1917808219178214,2007-07-15
2007-07-01,2.1897810218978186,2007-08-15
2007-08-01,1.7304189435336959,2007-09-15
2007-09-01,2.472527472527486,2007-10-15
2007-10-01,2.3853211009174258,2007-11-15
2007-11-01,2.472527472527486,2007-12-15
2007-12-01,2.376599634369292,2008-01-15
2008-01-01,2.1937842778793293,2008-02-15
2008-02-01,1.814882032667886,2008-03-15
2008-03-01,1.3501350135013412,2008-04-15
2008-04-01,1.70250896057349,2008-05-15
2008-05-01,2.2301516503122176,2008-06-15
2008-06-01,3.1277926720286064,2008-07-15
2008-07-01,3.392857142857131,2008-08-15
2008-08-01,3.4914950760966734,2008-09-15
2008-09-01,3.3958891867738927,2008-10-15
2008-10-01,2.5985663082437327,2008-11-15
2008-11-01,1.9660411081322549,2008-12-15
2008-12-01,1.1607142857142927,2009-01-15
2009-01-01,1.073345259391778,2009-02-15
2009-02-01,1.426024955436711,2009-03-15
2009-03-01,1.243339253996445,2009-04-15
2009-04-01,0.35242290748900285,2009-05-15
2009-05-01,0.08726003490402423,2009-06-15
2009-06-01,-0.25996533795494825,2009-07-15
2009-07-01,-0.949913644214162,2009-08-15
2009-08-01,-0.7785467128027634,2009-09-15
2009-09-01,-0.8643042350907515,2009-10-15
2009-10-01,0.08733624454146938,2009-11-15
2009-11-01,0.9640666082384008,2009-12-15
2009-12-01,1.3239187996469504,2010-01-15
2010-01-01,1.8584070796460184,2010-02-15
2010-02-01,1.5817223198594021,2010-03-15
2010-03-01,1.403508771929829,2010-04-15
2010-04-01,1.843722563652328,2010-05-15
2010-05-01,1.3949433304272008,2010-06-15
2010-06-01,0.9556907037358897,2010-07-15
2010-07-01,1.8308631211856996,2010-08-15
2010-08-01,1.7436791630339954,2010-09-15
2010-09-01,1.9180470793374038,2010-10-15
2010-10-01,2.443280977312412,2010-11-15
2010-11-01,1.996527777777768,2010-12-15
2010-12-01,2.3519163763066286,2011-01-15
2011-01-01,2.3457862728062606,2011-02-15
2011-02-01,2.1626297577854725,2011-03-15
2011-03-01,3.287197231833927,2011-04-15
2011-04-01,3.275862068965507,2011-05-15
2011-05-01,3.6973344797936347,2011-06-15
2011-06-01,3.098106712564541,2011-07-15
2011-07-01,2.7397260273972712,2011-08-15
2011-08-01,3.084832904884305,2011-09-15
2011-09-01,3.1650983746791983,2011-10-15
2011-10-01,2.8960817717206044,2011-11-15
2011-11-01,2.8936170212765955,2011-12-15
2011-12-01,2.297872340425533,2012-01-15
2012-01-01,2.4617996604414216,2012-02-15
2012-02-01,2.6248941574936513,2012-03-15
2012-03-01,1.9262981574539317,2012-04-15
2012-04-01,2.00333889816362,2012-05-15
2012-05-01,1.243781094527363,2012-06-15
2012-06-01,1.5025041736226985,2012-07-15
2012-07-01,1.2499999999999956,2012-08-15
2012-08-01,1.2468827930174564,2012-09-15
2012-09-01,1.1608623548922115,2012-10-15
2012-10-01,1.1589403973510048,2012-11-15
2012-11-01,0.8271298593879317,2012-12-15
2012-12-01,0.8319467554076532,2013-01-15
2013-01-01,0.4971002485501197,2013-02-15
2013-02-01,1.2376237623762387,2013-03-15
2013-03-01,0.9860312243221037,2013-04-15
2013-04-01,0.40916530278232166,2013-05-15
2013-05-01,0.7371007371007376,2013-06-15
2013-06-01,1.1513157894736947,2013-07-15
2013-07-01,1.3168724279835287,2013-08-15
2013-08-01,1.0673234811165777,2013-09-15
2013-09-01,1.06557377049179,2013-10-15
2013-10-01,0.6546644844517058,2013-11-15
2013-11-01,0.9023789991796427,2013-12-15
2013-12-01,1.2376237623762387,2014-01-15
2014-01-01,1.483924154987637,2014-02-15
2014-02-01,1.140994295028519,2014-03-15
2014-03-01,1.5459723352318822,2014-04-15
2014-04-01,2.037489812550941,2014-05-15
2014-05-01,2.276422764227637,2014-06-15
2014-06-01,2.357723577235782,2014-07-15
2014-07-01,2.1121039805036546,2014-08-15
2014-08-01,2.1121039805036546,2014-09-15
2014-09-01,2.0275750202757514,2014-10-15
2014-10-01,2.357723577235782,2014-11-15
2014-11-01,1.9512195121951237,2014-12-15
2014-12-01,1.4669926650366705,2015-01-15
2015-01-01,0.9748172217709294,2015-02-15
2015-02-01,1.0475423045930743,2015-03-15
2015-03-01,1.2019230769230838,2015-04-15
2015-04-01,0.7987220447284393,2015-05-15
2015-05-01,0.8744038155802825,2015-06-15
2015-06-01,1.0325655281969714,2015-07-15
2015-07-01,1.2728719172633296,2015-08-15
2015-08-01,1.2728719172633296,2015-09-15
2015-09-01,1.0333863275039823,2015-10-15
2015-10-01,1.0325655281969714,2015-11-15
2015-11-01,1.3556618819776656,2015-12-15
2015-12-01,1.6064257028112428,2016-01-15
2016-01-01,2.011263073209979,2016-02-15
2016-02-01,1.3556618819776656,2016-03-15
2016-03-01,1.2668250197941378,2016-04-15
2016-04-01,1.6640253565768592,2016-05-15
2016-05-01,1.497241922773851,2016-06-15
2016-06-01,1.4937106918238907,2016-07-15
2016-07-01,1.256873527101332,2016-08-15
2016-08-01,1.09976433621366,2016-09-15
2016-09-01,1.337529504327306,2016-10-15
2016-10-01,1.4937106918238907,2016-11-15
2016-11-01,1.1801730920534936,2016-12-15
2016-12-01,1.5019762845849938,2017-01-15
2017-01-01,2.1293375394321856,2017-02-15
2017-02-01,2.0456333595594067,2017-03-15
2017-03-01,1.5637216575449475,2017-04-15
2017-04-01,1.636788776305531,2017-05-15
2017-05-01,1.3198757763975166,2017-06-15
2017-06-01,1.0069713400464808,2017-07-15
2017-07-01,1.1636927851047307,2017-08-15
2017-08-01,1.3986013986014179,2017-09-15
2017-09-01,1.552795031055898,2017-10-15
2017-10-01,1.3942680092951187,2017-11-15
2017-11-01,2.0995334370140117,2017-12-15
2017-12-01,1.869158878504673,2018-01-15
2018-01-01,1.698841698841691,2018-02-15
