date,retail_sales_current_dollars,retail_sales_chained_2017_dollars,release_date
2000-01-01,23434451000.0,,2000-02-20
2000-02-01,23378327000.0,,2000-03-20
2000-03-01,23813646000.0,,2000-04-20
2000-04-01,23537859000.0,,2000-05-20
2000-05-01,23644020000.0,,2000-06-20
2000-06-01,23841011000.0,,2000-07-20
2000-07-01,24204193000.0,,2000-08-20
2000-08-01,24266358000.0,,2000-09-20
2000-09-01,24495699000.0,,2000-10-20
2000-10-01,24330740000.0,,2000-11-20
2000-11-01,24373656000.0,,2000-12-20
2000-12-01,24518477000.0,,2001-01-20
2001-01-01,24640517000.0,,2001-02-20
2001-02-01,24477976000.0,,2001-03-20
2001-03-01,24583988000.0,,2001-04-20
2001-04-01,24944482000.0,,2001-05-20
2001-05-01,25143416000.0,,2001-06-20
2001-06-01,25190078000.0,,2001-07-20
2001-07-01,24813831000.0,,2001-08-20
2001-08-01,25017925000.0,,2001-09-20
2001-09-01,24703734000.0,,2001-10-20
2001-10-01,25149772000.0,,2001-11-20
2001-11-01,25657476000.0,,2001-12-20
2001-12-01,26124705000.0,,2002-01-20
2002-01-01,26496729000.0,,2002-02-20
2002-02-01,26105990000.0,,2002-03-20
2002-03-01,26072633000.0,,2002-04-20
2002-04-01,26657565000.0,,2002-05-20
2002-05-01,26165998000.0,,2002-06-20
2002-06-01,26768924000.0,,2002-07-20
2002-07-01,26620588000.0,,2002-08-20
2002-08-01,26767279000.0,,2002-09-20
2002-09-01,26620259000.0,,2002-10-20
2002-10-01,27061844000.0,,2002-11-20
2002-11-01,27015215000.0,,2002-12-20
2002-12-01,27172388000.0,,2003-01-20
2003-01-01,27137545000.0,,2003-02-20
2003-02-01,27622538000.0,,2003-03-20
2003-03-01,27275170000.0,,2003-04-20
2003-04-01,27176306000.0,,2003-05-20
2003-05-01,27484615000.0,,2003-06-20
2003-06-01,27569750000.0,,2003-07-20
2003-07-01,27707861000.0,,2003-08-20
2003-08-01,28020755000.0,,2003-09-20
2003-09-01,27841344000.0,,2003-10-20
2003-10-01,27825024000.0,,2003-11-20
2003-11-01,27777531000.0,,2003-12-20
2003-12-01,27704978000.0,,2004-01-20
2004-01-01,27935993000.0,30860000000.0,2004-02-20
2004-02-01,28719948000.0,31544000000.0,2004-03-20
2004-03-01,28689514000.0,31505000000.0,2004-04-20
2004-04-01,28254086000.0,31036000000.0,2004-05-20
2004-05-01,28554094000.0,31025000000.0,2004-06-20
2004-06-01,28550528000.0,31027000000.0,2004-07-20
2004-07-01,28616168000.0,31137000000.0,2004-08-20
2004-08-01,28836665000.0,31430000000.0,2004-09-20
2004-09-01,29243662000.0,31829000000.0,2004-10-20
2004-10-01,29561177000.0,31908000000.0,2004-11-20
2004-11-01,29901036000.0,32147000000.0,2004-12-20
2004-12-01,29593609000.0,31835000000.0,2005-01-20
2005-01-01,29888781000.0,32464000000.0,2005-02-20
2005-02-01,30460620000.0,32878000000.0,2005-03-20
2005-03-01,30006264000.0,32332000000.0,2005-04-20
2005-04-01,29940271000.0,32146000000.0,2005-05-20
2005-05-01,29935878000.0,32256000000.0,2005-06-20
2005-06-01,30590992000.0,32813000000.0,2005-07-20
2005-07-01,30800241000.0,32981000000.0,2005-08-20
2005-08-01,30647393000.0,32494000000.0,2005-09-20
2005-09-01,30600008000.0,32080000000.0,2005-10-20
2005-10-01,30887481000.0,32596000000.0,2005-11-20
2005-11-01,31012789000.0,32893000000.0,2005-12-20
2005-12-01,31230056000.0,33046000000.0,2006-01-20
2006-01-01,31747679000.0,33408000000.0,2006-02-20
2006-02-01,31744450000.0,33694000000.0,2006-03-20
2006-03-01,31871717000.0,33764000000.0,2006-04-20
2006-04-01,32354405000.0,34035000000.0,2006-05-20
2006-05-01,32048264000.0,33828000000.0,2006-06-20
2006-06-01,32242363000.0,34091000000.0,2006-07-20
2006-07-01,33040218000.0,34484000000.0,2006-08-20
2006-08-01,33007575000.0,34335000000.0,2006-09-20
2006-09-01,32492838000.0,34280000000.0,2006-10-20
2006-10-01,32595465000.0,34336000000.0,2006-11-20
2006-11-01,32814138000.0,34529000000.0,2006-12-20
2006-12-01,33515367000.0,35100000000.0,2007-01-20
2007-01-01,33221023000.0,34954000000.0,2007-02-20
2007-02-01,33466188000.0,34945000000.0,2007-03-20
2007-03-01,33910296000.0,35094000000.0,2007-04-20
2007-04-01,34385868000.0,35562000000.0,2007-05-20
2007-05-01,34789277000.0,35850000000.0,2007-06-20
2007-06-01,34436278000.0,35685000000.0,2007-07-20
2007-07-01,34430726000.0,35710000000.0,2007-08-20
2007-08-01,34725483000.0,36213000000.0,2007-09-20
2007-09-01,34341226000.0,35723000000.0,2007-10-20
2007-10-01,34305870000.0,35803000000.0,2007-11-20
2007-11-01,34958995000.0,36378000000.0,2007-12-20
2007-12-01,35625285000.0,36970000000.0,2008-01-20
2008-01-01,35933156000.0,37192000000.0,2008-02-20
2008-02-01,35526909000.0,36875000000.0,2008-03-20
2008-03-01,35530142000.0,36959000000.0,2008-04-20
2008-04-01,35914167000.0,37175000000.0,2008-05-20
2008-05-01,36006888000.0,37084000000.0,2008-06-20
2008-06-01,36400129000.0,37077000000.0,2008-07-20
2008-07-01,36403867000.0,36946000000.0,2008-08-20
2008-08-01,36137537000.0,36838000000.0,2008-09-20
2008-09-01,36390521000.0,37006000000.0,2008-10-20
2008-10-01,35747571000.0,36887000000.0,2008-11-20
2008-11-01,34661690000.0,36042000000.0,2008-12-20
2008-12-01,33303365000.0,34993000000.0,2009-01-20
2009-01-01,33790507000.0,35661000000.0,2009-02-20
2009-02-01,33861903000.0,35500000000.0,2009-03-20
2009-03-01,33838239000.0,35617000000.0,2009-04-20
2009-04-01,33932693000.0,35864000000.0,2009-05-20
2009-05-01,34366762000.0,35995000000.0,2009-06-20
2009-06-01,34752611000.0,36033000000.0,2009-07-20
2009-07-01,34734947000.0,36126000000.0,2009-08-20
2009-08-01,34958551000.0,36267000000.0,2009-09-20
2009-09-01,35271163000.0,36761000000.0,2009-10-20
2009-10-01,35442041000.0,36788000000.0,2009-11-20
2009-11-01,35094920000.0,36037000000.0,2009-12-20
2009-12-01,35671435000.0,36692000000.0,2010-01-20
2010-01-01,36091102000.0,37076000000.0,2010-02-20
2010-02-01,36048207000.0,37117000000.0,2010-03-20
2010-03-01,36872345000.0,38013000000.0,2010-04-20
2010-04-01,36394220000.0,37561000000.0,2010-05-20
2010-05-01,36050622000.0,37325000000.0,2010-06-20
2010-06-01,36308653000.0,37770000000.0,2010-07-20
2010-07-01,36357428000.0,37823000000.0,2010-08-20
2010-08-01,36453361000.0,37834000000.0,2010-09-20
2010-09-01,36569715000.0,37966000000.0,2010-10-20
2010-10-01,36837126000.0,37854000000.0,2010-11-20
2010-11-01,37538580000.0,38447000000.0,2010-12-20
2010-12-01,37436674000.0,38162000000.0,2011-01-20
2011-01-01,37311614000.0,37932000000.0,2011-02-20
2011-02-01,37417919000.0,38130000000.0,2011-03-20
2011-03-01,37624315000.0,37987000000.0,2011-04-20
2011-04-01,37883034000.0,38168000000.0,2011-05-20
2011-05-01,37736236000.0,37878000000.0,2011-06-20
2011-06-01,38120856000.0,38719000000.0,2011-07-20
2011-07-01,37897036000.0,38335000000.0,2011-08-20
2011-08-01,38004303000.0,38317000000.0,2011-09-20
2011-09-01,38283380000.0,38359000000.0,2011-10-20
2011-10-01,38583801000.0,38594000000.0,2011-11-20
2011-11-01,38694229000.0,38663000000.0,2011-12-20
2011-12-01,39173620000.0,39357000000.0,2012-01-20
2012-01-01,38958802000.0,38984000000.0,2012-02-20
2012-02-01,38861395000.0,38874000000.0,2012-03-20
2012-03-01,39198162000.0,39175000000.0,2012-04-20
2012-04-01,38843751000.0,38577000000.0,2012-05-20
2012-05-01,38791914000.0,38831000000.0,2012-06-20
2012-06-01,38764063000.0,39107000000.0,2012-07-20
2012-07-01,38857340000.0,39125000000.0,2012-08-20
2012-08-01,38946468000.0,38938000000.0,2012-09-20
2012-09-01,39061424000.0,38920000000.0,2012-10-20
2012-10-01,39237267000.0,38973000000.0,2012-11-20
2012-11-01,39203945000.0,39164000000.0,2012-12-20
2012-12-01,39075859000.0,39133000000.0,2013-01-20
2013-01-01,39520274000.0,39590000000.0,2013-02-20
2013-02-01,39773650000.0,39289000000.0,2013-03-20
2013-03-01,39905175000.0,39646000000.0,2013-04-20
2013-04-01,39719107000.0,39779000000.0,2013-05-20
2013-05-01,40395039000.0,40517000000.0,2013-06-20
2013-06-01,40100664000.0,40080000000.0,2013-07-20
2013-07-01,40573313000.0,40458000000.0,2013-08-20
2013-08-01,40890989000.0,40763000000.0,2013-09-20
2013-09-01,40785782000.0,40594000000.0,2013-10-20
2013-10-01,40918659000.0,40887000000.0,2013-11-20
2013-11-01,40931618000.0,40975000000.0,2013-12-20
2013-12-01,40959258000.0,40798000000.0,2014-01-20
2014-01-01,41355487000.0,41206000000.0,2014-02-20
2014-02-01,41682461000.0,41207000000.0,2014-03-20
2014-03-01,41587638000.0,41147000000.0,2014-04-20
2014-04-01,42080184000.0,41611000000.0,2014-05-20
2014-05-01,42196608000.0,41709000000.0,2014-06-20
2014-06-01,42686363000.0,42021000000.0,2014-07-20
2014-07-01,42909594000.0,42310000000.0,2014-08-20
2014-08-01,42833664000.0,42234000000.0,2014-09-20
2014-09-01,43065604000.0,42481000000.0,2014-10-20
2014-10-01,43041965000.0,42466000000.0,2014-11-20
2014-11-01,42919754000.0,42513000000.0,2014-12-20
2014-12-01,42988092000.0,42850000000.0,2015-01-20
2015-01-01,41539132000.0,41859000000.0,2015-02-20
2015-02-01,42395758000.0,42309000000.0,2015-03-20
2015-03-01,42908167000.0,42486000000.0,2015-04-20
2015-04-01,42961463000.0,42627000000.0,2015-05-20
2015-05-01,43268403000.0,42595000000.0,2015-06-20
2015-06-01,43688409000.0,42709000000.0,2015-07-20
2015-07-01,44032725000.0,42956000000.0,2015-08-20
2015-08-01,44211643000.0,43214000000.0,2015-09-20
2015-09-01,44210057000.0,43556000000.0,2015-10-20
2015-10-01,44158745000.0,43298000000.0,2015-11-20
2015-11-01,44640122000.0,43528000000.0,2015-12-20
2015-12-01,44590158000.0,43478000000.0,2016-01-20
2016-01-01,45148997000.0,44166000000.0,2016-02-20
2016-02-01,45498470000.0,44702000000.0,2016-03-20
2016-03-01,45033283000.0,44123000000.0,2016-04-20
2016-04-01,45462781000.0,44326000000.0,2016-05-20
2016-05-01,45168072000.0,43926000000.0,2016-06-20
2016-06-01,45622380000.0,44122000000.0,2016-07-20
2016-07-01,45436118000.0,44265000000.0,2016-08-20
2016-08-01,45622198000.0,44349000000.0,2016-09-20
2016-09-01,46192583000.0,44881000000.0,2016-10-20
2016-10-01,46481059000.0,44935000000.0,2016-11-20
2016-11-01,46758993000.0,45371000000.0,2016-12-20
2016-12-01,47286384000.0,45648000000.0,2017-01-20
2017-01-01,48568234000.0,46436000000.0,2017-02-20
2017-02-01,48022072000.0,46181000000.0,2017-03-20
2017-03-01,48131622000.0,46607000000.0,2017-04-20
2017-04-01,48989825000.0,47183000000.0,2017-05-20
2017-05-01,48892363000.0,47336000000.0,2017-06-20
2017-06-01,48931942000.0,47531000000.0,2017-07-20
2017-07-01,49015122000.0,47446000000.0,2017-08-20
2017-08-01,49071782000.0,47261000000.0,2017-09-20
2017-09-01,49008765000.0,46864000000.0,2017-10-20
2017-10-01,50410330000.0,48190000000.0,2017-11-20
2017-11-01,50053362000.0,47412000000.0,2017-12-20
2017-12-01,50077941000.0,47243000000.0,2018-01-20
2018-01-01,50061338000.0,47385000000.0,2018-02-20
2018-02-01,49796692000.0,46968000000.0,2018-03-20
2018-03-01,49781124000.0,47038000000.0,2018-04-20
2018-04-01,49972651000.0,47055000000.0,2018-05-20
2018-05-01,51326860000.0,48405000000.0,2018-06-20
2018-06-01,51112207000.0,48059000000.0,2018-07-20
2018-07-01,50769994000.0,47704000000.0,2018-08-20
2018-08-01,51034086000.0,47828000000.0,2018-09-20
2018-09-01,51231312000.0,48112000000.0,2018-10-20
2018-10-01,51406344000.0,48152000000.0,2018-11-20
2018-11-01,50544898000.0,47729000000.0,2018-12-20
2018-12-01,50862401000.0,48067000000.0,2019-01-20
2019-01-01,50435197000.0,47776000000.0,2019-02-20
2019-02-01,50488957000.0,47369000000.0,2019-03-20
2019-03-01,51132105000.0,47666000000.0,2019-04-20
2019-04-01,51429477000.0,47705000000.0,2019-05-20
2019-05-01,51851109000.0,47927000000.0,2019-06-20
2019-06-01,51506218000.0,47901000000.0,2019-07-20
2019-07-01,51781731000.0,48010000000.0,2019-08-20
2019-08-01,51713108000.0,48019000000.0,2019-09-20
2019-09-01,51642033000.0,47870000000.0,2019-10-20
2019-10-01,50948741000.0,47175000000.0,2019-11-20
2019-11-01,51270831000.0,47363000000.0,2019-12-20
2019-12-01,52344902000.0,48407000000.0,2020-01-20
2020-01-01,51930547000.0,47842000000.0,2020-02-20
2020-02-01,52136503000.0,47891000000.0,2020-03-20
2020-03-01,46059539000.0,43467000000.0,2020-04-20
2020-04-01,35195868000.0,33500000000.0,2020-05-20
2020-05-01,43643147000.0,41007000000.0,2020-06-20
2020-06-01,53418795000.0,49541000000.0,2020-07-20
2020-07-01,53426106000.0,49410000000.0,2020-08-20
2020-08-01,53254868000.0,49289000000.0,2020-09-20
2020-09-01,54870019000.0,50710000000.0,2020-10-20
2020-10-01,55517491000.0,51096000000.0,2020-11-20
2020-11-01,55562005000.0,51067000000.0,2020-12-20
2020-12-01,53315486000.0,48843000000.0,2021-01-20
2021-01-01,52260090000.0,47910000000.0,2021-02-20
2021-02-01,55786774000.0,50969000000.0,2021-03-20
2021-03-01,58522542000.0,53605000000.0,2021-04-20
2021-04-01,55624348000.0,50563000000.0,2021-05-20
2021-05-01,54540124000.0,49391000000.0,2021-06-20
2021-06-01,56792174000.0,51378000000.0,2021-07-20
2021-07-01,56785108000.0,51166000000.0,2021-08-20
2021-08-01,57699143000.0,51683000000.0,2021-09-20
2021-09-01,57201326000.0,51066000000.0,2021-10-20
2021-10-01,58218955000.0,51566000000.0,2021-11-20
2021-11-01,58750669000.0,51633000000.0,2021-12-20
2021-12-01,57919779000.0,50529000000.0,2022-01-20
2022-01-01,59986831000.0,51909000000.0,2022-02-20
2022-02-01,60182697000.0,52027000000.0,2022-03-20
2022-03-01,60483175000.0,51935000000.0,2022-04-20
2022-04-01,60872720000.0,51983000000.0,2022-05-20
2022-05-01,62190676000.0,52546000000.0,2022-06-20
2022-06-01,62641072000.0,52474000000.0,2022-07-20
2022-07-01,61229439000.0,51590000000.0,2022-08-20
2022-08-01,61436871000.0,51974000000.0,2022-09-20
2022-09-01,61043913000.0,51755000000.0,2022-10-20
2022-10-01,61814032000.0,51778000000.0,2022-11-20
2022-11-01,61788075000.0,51593000000.0,2022-12-20
2022-12-01,62122558000.0,52279000000.0,2023-01-20
2023-01-01,66268651000.0,58115000000.0,2023-02-20
